frequency,delayrising,delayfalling
565,619.1927597775165,7.668494762520281e6
566,619.1846298374193,7.668556646447591e6
567,619.1765001449179,7.668618522664138e6
568,619.1683707000122,7.668680391170408e6
569,619.1602415027023,7.668742251966885e6
570,619.1521125529881,7.668804105054055e6
571,619.1439838508697,7.668865950432403e6
572,619.1358553963471,7.668927788102415e6
573,619.1277271894202,7.668989618064576e6
574,619.1195992300891,7.6690514403193705e6
575,619.1114715183537,7.669113254867285e6
576,619.1033440542141,7.669175061708804e6
577,619.0952168376701,7.669236860844413e6
578,619.0870898687219,7.669298652274598e6
579,619.0789631473696,7.669360435999843e6
580,619.0708366736129,7.669422212020636e6
581,619.0627104474521,7.669483980337459e6
582,619.054584468887,7.669545740950799e6
583,619.0464587379175,7.669607493861141e6
584,619.038333254544,7.669669239068971e6
585,619.0302080187661,7.669730976574773e6
586,619.022083030584,7.669792706379034e6
587,619.0139582899976,7.669854428482238e6
588,619.005833797007,7.669916142884871e6
589,618.9977095516122,7.669977849587418e6
590,618.9895855538131,7.670039548590364e6
591,618.9814618036097,7.670101239894195e6
592,618.9733383010021,7.670162923499397e6
593,618.9652150459902,7.670224599406454e6
594,618.957092038574,7.670286267615851e6
595,618.9489692787538,7.670347928128074e6
596,618.9408467665291,7.67040958094361e6
597,618.9327245019003,7.67047122606294e6
598,618.9246024848673,7.6705328634865545e6
599,618.9164807154299,7.670594493214936e6
600,618.9083591935882,7.670656115248569e6
601,618.9002379193424,7.670717729587941e6
602,618.8921168926923,7.670779336233537e6
603,618.8839961136381,7.67084093518584e6
604,618.8758755821794,7.670902526445338e6
605,618.8677552983166,7.670964110012515e6
606,618.8596352620496,7.671025685887857e6
607,618.8515154733783,7.671087254071849e6
608,618.8433959323027,7.671148814564976e6
609,618.8352766388228,7.671210367367724e6
610,618.8271575929388,7.671271912480578e6
611,618.8190387946505,7.671333449904024e6
612,618.810920243958,7.671394979638545e6
613,618.8028019408612,7.671456501684629e6
614,618.7946838853601,7.67151801604276e6
615,618.7865660774547,7.671579522713424e6
616,618.7784485171452,7.671641021697106e6
617,618.7703312044314,7.67170251299429e6
618,618.7622141393134,7.671763996605464e6
619,618.754097321791,7.671825472531111e6
620,618.7459807518645,7.6718869407717185e6
621,618.7378644295337,7.671948401327769e6
622,618.7297483547987,7.672009854199751e6
623,618.7216325276594,7.672071299388147e6
624,618.7135169481159,7.672132736893444e6
625,618.7054016161682,7.672194166716128e6
626,618.6972865318161,7.672255588856681e6
627,618.6891716950598,7.672317003315592e6
628,618.6810571058993,7.672378410093345e6
629,618.6729427643345,7.672439809190425e6
630,618.6648286703655,7.6725012006073175e6
631,618.6567148239923,7.672562584344507e6
632,618.6486012252147,7.672623960402481e6
633,618.6404878740329,7.672685328781723e6
634,618.632374770447,7.672746689482719e6
635,618.6242619144567,7.672808042505954e6
636,618.6161493060622,7.672869387851913e6
637,618.6080369452635,7.672930725521083e6
638,618.5999248320604,7.672992055513947e6
639,618.5918129664532,7.673053377830992e6
640,618.5837013484418,7.673114692472703e6
641,618.575589978026,7.673175999439565e6
642,618.567478855206,7.673237298732064e6
643,618.5593679799817,7.673298590350684e6
644,618.5512573523532,7.673359874295911e6
645,618.5431469723205,7.673421150568231e6
646,618.5350368398836,7.673482419168129e6
647,618.5269269550423,7.673543680096089e6
648,618.5188173177968,7.673604933352599e6
649,618.5107079281471,7.673666178938141e6
650,618.5025987860931,7.673727416853203e6
651,618.4944898916349,7.67378864709827e6
652,618.4863812447725,7.673849869673826e6
653,618.4782728455058,7.673911084580357e6
654,618.4701646938348,7.673972291818349e6
655,618.4620567897596,7.674033491388286e6
656,618.4539491332802,7.674094683290655e6
657,618.4458417243964,7.67415586752594e6
658,618.4377345631085,7.674217044094626e6
659,618.4296276494163,7.6742782129972e6
660,618.4215209833199,7.6743393742341455e6
661,618.4134145648192,7.67440052780595e6
662,618.4053083939142,7.6744616737130955e6
663,618.397202470605,7.67452281195607e6
664,618.3890967948915,7.674583942535359e6
665,618.3809913667739,7.674645065451447e6
666,618.3728861862519,7.674706180704819e6
667,618.3647812533258,7.674767288295961e6
668,618.3566765679954,7.674828388225358e6
669,618.3485721302607,7.674889480493494e6
670,618.3404679401217,7.674950565100857e6
671,618.3323639975786,7.6750116420479305e6
672,618.3242603026312,7.675072711335201e6
673,618.3161568552795,7.675133772963152e6
674,618.3080536555235,7.675194826932271e6
675,618.2999507033634,7.675255873243041e6
676,618.291847998799,7.67531691189595e6
677,618.2837455418303,7.675377942891481e6
678,618.2756433324574,7.6754389662301205e6
679,618.2675413706802,7.675499981912354e6
680,618.2594396564988,7.675560989938666e6
681,618.2513381899132,7.675621990309543e6
682,618.2432369709232,7.675682983025469e6
683,618.2351359995291,7.675743968086929e6
684,618.2270352757307,7.675804945494411e6
685,618.2189347995281,7.675865915248397e6
686,618.2108345709212,7.675926877349375e6
687,618.20273458991,7.675987831797828e6
688,618.1946348564946,7.676048778594243e6
689,618.1865353706751,7.676109717739106e6
690,618.1784361324512,7.6761706492329e6
691,618.1703371418231,7.676231573076112e6
692,618.1622383987907,7.676292489269227e6
693,618.154139903354,7.67635339781273e6
694,618.1460416555132,7.676414298707106e6
695,618.137943655268,7.676475191952841e6
696,618.1298459026187,7.676536077550421e6
697,618.121748397565,7.67659695550033e6
